City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Agoura Hills, CA",26334.0,124012.0,2149.0,1251.0,6870.0,20700,34.1489422,-118.7639301
"Agra, KS",333.0,41250.0,67.0,44.0,27.0,191,39.7612622,-99.1194272
"Agra, OK",1439.0,44583.0,450.0,35.0,74.0,344,35.8949374,-96.8701946
"Agua Dulce, TX",1868.0,45313.0,422.0,70.0,156.0,2409,31.654853000000006,-106.1369034
"Agua Dulce, TX",1868.0,45313.0,422.0,70.0,156.0,952,27.7827303,-97.9098498
"Aguada, PR",37751.0,16807.0,6127.0,2971.0,4001.0,2898,18.3803419,-67.1883893
"Aguadilla, PR",47081.0,16049.0,8788.0,2525.0,5561.0,11550,18.4383977,-67.15479570000001
"Aguanga, CA",3076.0,59960.0,730.0,255.0,248.0,1227,33.4522463,-116.8554705
"Aguas Buenas, PR",26097.0,18846.0,5028.0,1866.0,2698.0,3714,18.2581766,-66.1064265
"Aguila, AZ",1207.0,33229.0,168.0,23.0,25.0,653,33.9375158,-113.1664832
"Aguilar, CO",902.0,37031.0,187.0,45.0,114.0,25,37.403625700000006,-104.6550363
"Ahmeek, MI",215.0,32188.0,91.0,20.0,12.0,144,47.2984479,-88.39711199999998
"Ahoskie, NC",11691.0,40263.0,2351.0,820.0,1025.0,4571,36.2841265,-76.990105
"Ahwahnee, CA",1674.0,67955.0,478.0,56.0,118.0,2478,37.3654228,-119.7165606
"Aibonito, PR",22662.0,20214.0,5139.0,1431.0,2442.0,7937,18.1397229,-66.2657015
"Aiea, HI",40857.0,94541.0,7407.0,3842.0,6857.0,9806,21.3852618,-157.9247497
"Aiken, SC",72435.0,58231.666666666664,12591.0,4639.0,10239.0,17588,33.5306772,-81.7273837
"Ailey, GA",1813.0,51667.0,379.0,92.0,203.0,160,32.1883599,-82.5755661
"Ainsworth, IA",1464.0,95174.0,431.0,88.0,144.0,549,41.2900505,-91.5542657
"Ainsworth, NE",2175.0,47067.0,667.0,226.0,231.0,28,42.548439,-99.8575224
"Airway Heights, WA",7062.0,49342.0,812.0,474.0,349.0,7646,47.6459431,-117.5791969
"Aitkin, MN",8778.0,50819.0,2173.0,802.0,958.0,1962,46.52665,-93.704992
"Ajo, AZ",4009.0,36000.0,846.0,201.0,227.0,1926,32.3922788,-112.8838735
"Akaska, SD",89.0,53750.0,38.0,12.0,8.0,51,45.3310264,-100.1208612
"Akeley, MN",1679.0,50590.0,439.0,112.0,212.0,453,47.000418,-94.7282152
"Akron, AL",972.0,41071.0,191.0,85.0,82.0,60,32.8790657,-87.7408993
"Akron, CO",2725.0,49311.0,640.0,154.0,143.0,1654,40.1634664,-103.220274
"Akron, IA",2330.0,60125.0,494.0,138.0,320.0,1482,42.8267683,-96.5570265
"Akron, IN",3376.0,60665.0,903.0,178.0,205.0,1171,41.0388285,-86.0249228
"Akron, MI",1420.0,46957.0,376.0,124.0,61.0,301,43.56672329999999,-83.51429499999998
"Akron, NY",9522.0,63856.0,1898.0,891.0,1183.0,2905,43.0179568,-78.49780329999999
"Akron, OH",270239.0,43380.41176470588,54196.0,15661.0,30284.0,197938,41.0804559,-81.52142950000002
"Akron, PA",4425.0,61771.0,1261.0,241.0,564.0,3933,40.1578095,-76.2033731
"Alabaster, AL",34642.0,79385.0,4235.0,2021.0,5005.0,31440,33.244398600000004,-86.8473723
"Alachua, FL",14870.0,44785.5,2188.0,1220.0,2222.0,6279,29.765198600000005,-82.4750999
"Alamance, NC",66.0,-666666666.0,7.0,10.0,8.0,963,36.027756200000006,-79.48898009999998
"Alameda, CA",78522.0,124714.0,6186.0,3786.0,19758.0,78523,37.74191070000001,-122.2599139
"Alamo, CA",15105.0,237841.0,381.0,784.0,5016.0,16519,37.8547678,-122.0135573
"Alamo, GA",5333.0,40938.0,1130.0,170.0,626.0,2780,32.1476059,-82.7797715
"Alamo, ND",278.0,64028.0,30.0,44.0,26.0,128,48.5819766,-103.4674431
"Alamo, NV",1363.0,60152.0,251.0,73.0,163.0,862,37.3770164,-115.1678206
"Alamo, TN",4662.0,38807.0,921.0,299.0,213.0,2094,35.782936600000006,-89.1168784
"Alamo, TX",34990.0,35328.0,4134.0,790.0,1556.0,1080,26.1810509,-98.1177003
"Alamogordo, NM",38091.0,40016.5,5613.0,3015.0,2859.0,29434,32.8836158,-105.96361029999998
"Alamosa, CO",15153.0,37130.0,2065.0,737.0,1238.0,8525,37.4745281,-105.8769557
"Alanson, MI",4300.0,48517.0,940.0,326.0,351.0,712,45.4424839,-84.78690290000002
"Alapaha, GA",1904.0,33702.0,652.0,104.0,107.0,690,31.383137800000004,-83.2237064
"Alba, MI",285.0,44583.0,102.0,0.0,0.0,296,44.9785979,-84.9694683
"Alba, MO",796.0,55445.0,124.0,61.0,69.0,589,37.23715479999999,-94.4176114
"Albany, CA",21218.0,100461.0,881.0,702.0,4770.0,19748,37.8906499,-122.3181164
"Albany, GA",96639.0,43176.5,14936.0,5624.0,7513.0,68746,31.5781167,-84.17622420000002
"Albany, IL",1037.0,58571.0,289.0,87.0,94.0,872,41.7861316,-90.2163504
"Albany, IN",3648.0,54423.0,1123.0,316.0,298.0,2102,40.3059544,-85.2321915
"Albany, KY",10139.0,32039.0,2283.0,475.0,415.0,2007,36.6905458,-85.1354892
"Albany, LA",4985.0,67063.0,716.0,188.0,621.0,1104,30.4991933,-90.5838166
"Albany, MN",5427.0,73628.0,1299.0,552.0,521.0,2648,45.62665689999999,-94.5632463
"Albany, MO",2595.0,43826.0,580.0,129.0,274.0,1571,40.2478928,-94.3334549
"Albany, NY",150708.0,-60557132.63636363,17432.0,9868.0,20372.0,97095,42.6657453,-73.7983532
"Albany, OH",5378.0,55043.0,1715.0,437.0,451.0,894,39.2265369,-82.1947107
"Albany, OR",63821.0,64395.0,8684.0,4203.0,8059.0,51223,44.6269277,-123.0967414
"Albany, TX",2288.0,45268.0,275.0,27.0,302.0,51,32.7272659,-99.2956638
